Date,Close/Last,Volume,Open,High,Low
09/02/2021,110.90,5207312,110.54,110.91,109.645
09/01/2021,110.32,5683059,108.84,110.40,108.80
08/31/2021,108.58,4210190,107.74,108.71,107.54
08/30/2021,108.07,3600645,107.05,108.08,106.7827
08/27/2021,107.00,3059370,106.27,107.33,106.16
08/26/2021,105.89,2889363,105.95,106.23,105.46
08/25/2021,105.85,3329557,105.90,106.5152,105.43
08/24/2021,105.92,2867207,106.53,106.62,105.46
08/23/2021,106.39,3230555,106.80,107.02,106.09
08/20/2021,106.59,3238958,105.82,107.025,105.22
08/19/2021,106.06,4069638,105.02,106.15,104.85
08/18/2021,105.55,3439180,106.30,106.36,105.48
08/17/2021,106.52,3004304,106.18,106.56,105.60
08/16/2021,106.63,3166866,106.66,107.22,106.37
08/13/2021,106.76,2601584,106.40,106.88,106.05
08/12/2021,106.18,2892602,106.19,106.24,105.69
08/11/2021,105.95,3256693,105.76,106.09,105.28
08/10/2021,105.33,3770990,106.49,106.495,105.19
08/09/2021,106.34,2727833,106.72,106.76,106.145
08/06/2021,106.91,2753927,107.26,107.65,106.75
08/05/2021,107.10,3294834,106.44,107.12,106.17
08/04/2021,105.86,4038308,106.17,106.585,105.46
08/03/2021,106.19,5178907,106.26,106.42,105.43
08/02/2021,106.06,4089914,106.87,107.66,105.85
07/30/2021,106.29,4326031,106.36,107.7168,106.24
07/29/2021,106.15,3357650,106.51,107.18,106.045
07/28/2021,106.13,3577277,106.59,106.80,105.80
07/27/2021,106.50,3096113,105.84,106.67,105.412
07/26/2021,105.90,2857784,105.75,106.1688,105.125
07/23/2021,105.85,4128359,105.35,105.97,104.9802
07/22/2021,104.98,3932434,105.33,105.34,104.44
07/21/2021,105.82,4329137,106.02,106.52,105.66
07/20/2021,105.83,5000127,103.95,106.24,103.80
07/19/2021,103.39,5098056,104.114,104.33,102.59
07/16/2021,105.31,6435578,105.76,106.199,105.235
07/15/2021,105.38,2990141,105.00,105.50,104.92
07/14/2021,105.21,3397415,104.49,105.52,104.25
07/13/2021,104.48,5474154,105.69,105.78,104.075
07/12/2021,105.96,5627819,105.00,106.05,104.78
07/09/2021,105.06,5780346,103.90,105.07,103.63
07/08/2021,103.36,6426933,102.725,103.765,102.505
07/07/2021,103.65,5085743,103.13,103.99,102.80
07/06/2021,103.29,4478984,102.51,103.468,101.79
07/02/2021,102.54,4451813,102.63,103.04,102.1658
07/01/2021,102.23,6491380,102.027,103.02,101.505
06/30/2021,101.79,6640093,102.34,102.90,101.68
06/29/2021,102.33,3777309,102.77,103.20,102.26
06/28/2021,102.61,3940719,103.09,103.15,101.69
06/25/2021,102.91,2739135,102.25,103.01,102.08
06/24/2021,102.22,3229239,102.82,102.82,101.66
06/23/2021,103.17,3682968,103.35,103.75,103.08
06/22/2021,103.35,3088213,103.89,104.01,103.28
06/21/2021,103.89,3672872,102.31,104.21,101.80
06/18/2021,101.79,5357979,103.02,103.465,101.79
06/17/2021,103.55,5055058,103.41,103.703,102.86
06/16/2021,103.68,4498610,104.58,105.05,103.49
06/15/2021,104.36,4099942,105.40,105.49,104.36
06/14/2021,105.49,3531702,105.09,105.49,104.91
06/11/2021,105.08,3274147,105.52,105.63,104.56
06/10/2021,105.50,4010058,104.85,105.77,104.54
06/09/2021,104.75,3243002,104.91,105.21,104.704
06/08/2021,104.61,3935772,104.01,104.89,103.89
06/07/2021,103.75,4773130,102.74,104.20,102.71
06/04/2021,102.54,3121224,103.00,103.00,102.08
06/03/2021,102.49,4187584,102.75,102.75,102.01
06/02/2021,102.87,4446100,102.06,102.98,101.61
06/01/2021,101.68,4384999,100.37,101.69,100.01
05/28/2021,99.88,3409758,99.86,100.1704,99.56
05/27/2021,99.28,4363090,99.82,99.83,99.155
05/26/2021,99.51,4518148,99.25,100.07,99.05
05/25/2021,99.07,4243370,99.28,99.50,98.67
05/24/2021,99.10,3491479,98.32,99.47,98.23
05/21/2021,97.88,3019984,98.22,98.41,97.65
05/20/2021,97.98,2466591,96.91,98.29,96.64
05/19/2021,96.89,3602499,96.45,96.89,95.46
05/18/2021,97.20,3359825,97.20,97.83,96.60
05/17/2021,97.18,3320159,97.04,97.39,96.69
05/14/2021,97.08,3936696,96.45,97.42,96.31
05/13/2021,95.94,5119127,95.00,96.62,94.9403
05/12/2021,94.71,4601206,96.94,97.125,94.64
05/11/2021,97.17,4036945,97.57,97.57,96.36
05/10/2021,98.41,3436701,98.80,99.5699,98.40
